,# Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction,Orthogroup
100859,mpi|P9|380028|Fgenesh_Torrubiella_hemipterigena|contig_38_gene_28,Y (0.863),Y (0.653),-,Cytoplasmic/apoplastic effector,OG0009010
1360,mpi|P10|2800780|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_780,-,Y (0.858),-,Apoplastic effector,OG0009036
1841,jgi|P117|214637|fgenesh1_kg.8_#_266_#_TRINITY_DN8030_c0_g3_i1,-,Y (0.82),-,Apoplastic effector,OG0009036
3883,mpi|P11|600434|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_434,-,Y (0.871),-,Apoplastic effector,OG0009036
5547,mpi|P12|15001260|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_1260,-,Y (0.74),-,Apoplastic effector,OG0009036
6391,mpi|P13|1200156|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_156,-,Y (0.74),-,Apoplastic effector,OG0009036
8195,mpi|P143|20001230|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_1230,-,Y (0.695),-,Apoplastic effector,OG0009036
9901,mpi|P14|15002057|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_2057,-,Y (0.728),-,Apoplastic effector,OG0009036
11044,mpi|P15|1900366|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_366,-,Y (0.728),-,Apoplastic effector,OG0009036
12594,jgi|P16|60992|CE60991_10653,-,Y (0.837),-,Apoplastic effector,OG0009036
14096,mpi|P17|65001613|Fgenesh_Torrubiella_hemipterigena|contig_65_gene_1613,-,Y (0.818),-,Apoplastic effector,OG0009036
14412,mpi|P18|2920019|Fgenesh_Torrubiella_hemipterigena|contig_292_gene_19,-,Y (0.728),-,Apoplastic effector,OG0009036
15753,mpi|P19|1400130|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_130,-,Y (0.728),-,Apoplastic effector,OG0009036
18233,mpi|P1|6002130|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_2130,-,Y (0.826),-,Apoplastic effector,OG0009036
19714,mpi|P20|118001046|Fgenesh_Torrubiella_hemipterigena|contig_118_gene_1046,-,Y (0.863),-,Apoplastic effector,OG0009036
21099,mpi|P21|500572|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_572,-,Y (0.825),-,Apoplastic effector,OG0009036
22536,mpi|P22|1300731|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_731,-,Y (0.864),-,Apoplastic effector,OG0009036
25300,mpi|P24|2002186|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_2186,-,Y (0.723),-,Apoplastic effector,OG0009036
26679,mpi|P25|74001375|Fgenesh_Torrubiella_hemipterigena|contig_74_gene_1375,-,Y (0.662),-,Apoplastic effector,OG0009036
28214,mpi|P26|9002090|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_2090,-,Y (0.728),-,Apoplastic effector,OG0009036
28699,mpi|P27|350063|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_63,-,Y (0.695),-,Apoplastic effector,OG0009036
30943,mpi|P28|3300428|Fgenesh_Torrubiella_hemipterigena|contig_33_gene_428,-,Y (0.695),-,Apoplastic effector,OG0009036
32241,mpi|P29|45001108|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_1108,-,Y (0.723),-,Apoplastic effector,OG0009036
33757,mpi|P2|6001040|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_1040,-,Y (0.863),-,Apoplastic effector,OG0009036
34318,mpi|P30|600620|Fgenesh_Torrubiella_hemipterigena|scaffold_6_gene_620,-,Y (0.82),-,Apoplastic effector,OG0009036
35992,mpi|P31|400223|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_223,-,Y (0.826),-,Apoplastic effector,OG0009036
37936,mpi|P32|19001273|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_1273,-,Y (0.728),-,Apoplastic effector,OG0009036
39526,mpi|P33|2002133|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_2133,-,Y (0.728),-,Apoplastic effector,OG0009036
40796,mpi|P340|15002090|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_2090,-,Y (0.723),-,Apoplastic effector,OG0009036
42202,mpi|P34|13002105|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_2105,-,Y (0.818),-,Apoplastic effector,OG0009036
43598,mpi|P35|10001002|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_1002,-,Y (0.728),-,Apoplastic effector,OG0009036
44878,mpi|P36|31001250|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_1250,-,Y (0.728),-,Apoplastic effector,OG0009036
46533,mpi|P38|4002091|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_2091,-,Y (0.662),-,Apoplastic effector,OG0009036
47809,mpi|P39|310059|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_59,-,Y (0.695),-,Apoplastic effector,OG0009036
49334,mpi|P3|10002121|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_2121,-,Y (0.893),-,Apoplastic effector,OG0009036
50026,mpi|P40|400459|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_459,-,Y (0.575),-,Apoplastic effector,OG0009036
51602,mpi|P41|2400302|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_302,-,Y (0.728),-,Apoplastic effector,OG0009036
53441,mpi|P421|34002100|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_2100,-,Y (0.728),-,Apoplastic effector,OG0009036
54976,mpi|P42|17002077|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_2077,-,Y (0.728),-,Apoplastic effector,OG0009036
56188,mpi|P43|30001257|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_1257,-,Y (0.716),-,Apoplastic effector,OG0009036
56731,mpi|P44|1600193|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_193,-,Y (0.728),-,Apoplastic effector,OG0009036
59052,mpi|P455|5002072|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_2072,-,Y (0.695),-,Apoplastic effector,OG0009036
59698,mpi|P45|800193|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_193,-,Y (0.728),-,Apoplastic effector,OG0009036
61000,mpi|P46|4400158|Fgenesh_Torrubiella_hemipterigena|contig_44_gene_158,-,Y (0.863),-,Apoplastic effector,OG0009036
62522,mpi|P47|1500112|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_112,-,Y (0.575),-,Apoplastic effector,OG0009036
64694,mpi|P48|12002055|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_2055,-,Y (0.728),-,Apoplastic effector,OG0009036
66078,mpi|P49|1800545|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_545,-,Y (0.636),-,Apoplastic effector,OG0009036
67578,mpi|P4|1002090|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_2090,-,Y (0.818),-,Apoplastic effector,OG0009036
68487,mpi|P50|500177|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_177,-,Y (0.863),-,Apoplastic effector,OG0009036
70312,mpi|P51|800309|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_309,-,Y (0.728),-,Apoplastic effector,OG0009036
71835,mpi|P52|9001236|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_1236,-,Y (0.728),-,Apoplastic effector,OG0009036
72989,mpi|P54|2500830|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_830,-,Y (0.863),-,Apoplastic effector,OG0009036
74459,mpi|P55|2600475|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_475,-,Y (0.837),-,Apoplastic effector,OG0009036
77553,mpi|P57|9001642|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_1642,-,Y (0.837),-,Apoplastic effector,OG0009036
78843,mpi|P58|13001313|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_1313,-,Y (0.825),-,Apoplastic effector,OG0009036
80195,mpi|P59|2800975|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_975,-,Y (0.825),-,Apoplastic effector,OG0009036
81702,mpi|P5|4500373|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_373,-,Y (0.662),-,Apoplastic effector,OG0009036
83143,mpi|P60|1400261|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_261,-,Y (0.837),-,Apoplastic effector,OG0009036
84563,mpi|P612|4500237|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_237,-,Y (0.728),-,Apoplastic effector,OG0009036
85786,mpi|P61|16001248|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_1248,-,Y (0.728),-,Apoplastic effector,OG0009036
86834,mpi|P62|2800106|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_106,-,Y (0.9),-,Apoplastic effector,OG0009036
87667,mpi|P63|1200362|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_362,-,Y (0.728),-,Apoplastic effector,OG0009036
89541,mpi|P64|1100259|Fgenesh_Torrubiella_hemipterigena|contig_11_gene_259,-,Y (0.814),-,Apoplastic effector,OG0009036
89790,mpi|P64|900149|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_149,-,Y (0.801),-,Apoplastic effector,OG0009036
91293,mpi|P65|140022|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_22,-,Y (0.87),-,Apoplastic effector,OG0009036
92654,mpi|P66|200481|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_481,-,Y (0.737),-,Apoplastic effector,OG0009036
94993,mpi|P68|900341|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_341,-,Y (0.728),-,Apoplastic effector,OG0009036
96687,mpi|P6|900110|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_110,-,Y (0.729),-,Apoplastic effector,OG0009036
98111,mpi|P7|5500156|Fgenesh_Torrubiella_hemipterigena|contig_55_gene_156,-,Y (0.863),-,Apoplastic effector,OG0009036
99598,mpi|P8|800597|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_597,-,Y (0.823),-,Apoplastic effector,OG0009036
100941,mpi|P9|3800641|Fgenesh_Torrubiella_hemipterigena|contig_38_gene_641,-,Y (0.837),-,Apoplastic effector,OG0009036
1345,mpi|P10|2800705|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_705,Y (0.659),Y (0.67),-,Apoplastic/cytoplasmic effector,OG0009038
2281,jgi|P117|258038|estExt_fgenesh1_pg.C_710025,Y (0.537),Y (0.593),-,Apoplastic/cytoplasmic effector,OG0009038
3902,mpi|P11|600507|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_507,Y (0.683),Y (0.706),-,Apoplastic/cytoplasmic effector,OG0009038
5528,mpi|P12|15001186|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_1186,Y (0.625),Y (0.675),-,Apoplastic/cytoplasmic effector,OG0009038
6371,mpi|P13|120082|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_82,Y (0.659),Y (0.67),-,Apoplastic/cytoplasmic effector,OG0009038
8180,mpi|P143|20001161|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_1161,Y (0.717),Y (0.638),-,Cytoplasmic/apoplastic effector,OG0009038
9917,mpi|P14|15002126|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_2126,Y (0.658),Y (0.694),-,Apoplastic/cytoplasmic effector,OG0009038
11029,mpi|P15|1900300|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_300,Y (0.695),Y (0.645),-,Cytoplasmic/apoplastic effector,OG0009038
14112,mpi|P17|65001683|Fgenesh_Torrubiella_hemipterigena|contig_65_gene_1683,Y (0.697),Y (0.683),-,Cytoplasmic/apoplastic effector,OG0009038
14440,mpi|P18|1310042|Fgenesh_Torrubiella_hemipterigena|contig_131_gene_42,Y (0.67),Y (0.734),-,Apoplastic/cytoplasmic effector,OG0009038
15855,mpi|P19|180054|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_54,Y (0.67),Y (0.734),-,Apoplastic/cytoplasmic effector,OG0009038
18252,mpi|P1|6002202|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_2202,Y (0.659),Y (0.67),-,Apoplastic/cytoplasmic effector,OG0009038
19732,mpi|P20|118001122|Fgenesh_Torrubiella_hemipterigena|contig_118_gene_1122,Y (0.648),Y (0.735),-,Apoplastic/cytoplasmic effector,OG0009038
21114,mpi|P21|500648|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_648,Y (0.653),Y (0.645),-,Cytoplasmic/apoplastic effector,OG0009038
22520,mpi|P22|1300657|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_657,Y (0.713),Y (0.704),-,Cytoplasmic/apoplastic effector,OG0009038
25315,mpi|P24|2002255|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_2255,Y (0.673),Y (0.706),-,Apoplastic/cytoplasmic effector,OG0009038
26695,mpi|P25|74001443|Fgenesh_Torrubiella_hemipterigena|contig_74_gene_1443,Y (0.699),Y (0.677),-,Cytoplasmic/apoplastic effector,OG0009038
28229,mpi|P26|9002154|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_2154,Y (0.695),Y (0.645),-,Cytoplasmic/apoplastic effector,OG0009038
28714,mpi|P27|3500130|Fgenesh_Torrubiella_hemipterigena|contig_35_gene_130,Y (0.695),Y (0.645),-,Cytoplasmic/apoplastic effector,OG0009038
30958,mpi|P28|3300495|Fgenesh_Torrubiella_hemipterigena|contig_33_gene_495,Y (0.725),Y (0.645),-,Cytoplasmic/apoplastic effector,OG0009038
32226,mpi|P29|45001039|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_1039,Y (0.673),Y (0.706),-,Apoplastic/cytoplasmic effector,OG0009038
33774,mpi|P2|6001112|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_1112,Y (0.621),Y (0.739),-,Apoplastic/cytoplasmic effector,OG0009038
34829,mpi|P30|3001126|Fgenesh_Torrubiella_hemipterigena|scaffold_3_gene_1126,Y (0.537),Y (0.664),-,Apoplastic/cytoplasmic effector,OG0009038
35975,mpi|P31|400149|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_149,Y (0.602),Y (0.742),-,Apoplastic/cytoplasmic effector,OG0009038
37921,mpi|P32|19001204|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_1204,Y (0.667),Y (0.683),-,Apoplastic/cytoplasmic effector,OG0009038
39541,mpi|P33|2002202|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_2202,Y (0.667),Y (0.683),-,Apoplastic/cytoplasmic effector,OG0009038
40811,mpi|P340|15002158|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_2158,Y (0.686),Y (0.692),-,Apoplastic/cytoplasmic effector,OG0009038
42218,mpi|P34|13002175|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_2175,Y (0.727),Y (0.686),-,Cytoplasmic/apoplastic effector,OG0009038
43613,mpi|P35|10001068|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_1068,Y (0.673),Y (0.706),-,Apoplastic/cytoplasmic effector,OG0009038
44863,mpi|P36|31001183|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_1183,Y (0.695),Y (0.645),-,Cytoplasmic/apoplastic effector,OG0009038
46549,mpi|P38|4002159|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_2159,Y (0.699),Y (0.677),-,Cytoplasmic/apoplastic effector,OG0009038
47824,mpi|P39|3100124|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_124,Y (0.696),Y (0.647),-,Cytoplasmic/apoplastic effector,OG0009038
49352,mpi|P3|10002193|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_2193,Y (0.701),Y (0.675),-,Cytoplasmic/apoplastic effector,OG0009038
50009,mpi|P40|400389|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_389,Y (0.647),Y (0.769),-,Apoplastic/cytoplasmic effector,OG0009038
51617,mpi|P41|2400366|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_366,Y (0.671),Y (0.724),-,Apoplastic/cytoplasmic effector,OG0009038
53456,mpi|P421|34002170|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_2170,Y (0.673),Y (0.734),-,Apoplastic/cytoplasmic effector,OG0009038
54991,mpi|P42|17002146|Fgenesh_Torrubiella_hemipterigena|contig_17_gene_2146,Y (0.695),Y (0.623),-,Cytoplasmic/apoplastic effector,OG0009038
56173,mpi|P43|30001191|Fgenesh_Torrubiella_hemipterigena|contig_30_gene_1191,Y (0.696),Y (0.664),-,Cytoplasmic/apoplastic effector,OG0009038
56716,mpi|P44|1600127|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_127,Y (0.632),Y (0.68),-,Apoplastic/cytoplasmic effector,OG0009038
59067,mpi|P455|5002140|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_2140,Y (0.69),Y (0.649),-,Cytoplasmic/apoplastic effector,OG0009038
59683,mpi|P45|800127|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_127,Y (0.632),Y (0.68),-,Apoplastic/cytoplasmic effector,OG0009038
60983,mpi|P46|440084|Fgenesh_Torrubiella_hemipterigena|contig_44_gene_84,Y (0.707),Y (0.7),-,Cytoplasmic/apoplastic effector,OG0009038
62538,mpi|P47|1500181|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_181,Y (0.641),Y (0.772),-,Apoplastic/cytoplasmic effector,OG0009038
64709,mpi|P48|12002120|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_2120,Y (0.695),Y (0.645),-,Cytoplasmic/apoplastic effector,OG0009038
66093,mpi|P49|1800614|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_614,Y (0.558),Y (0.639),-,Apoplastic/cytoplasmic effector,OG0009038
67594,mpi|P4|1002158|Fgenesh_Torrubiella_hemipterigena|contig_1_gene_2158,Y (0.633),Y (0.707),-,Apoplastic/cytoplasmic effector,OG0009038
68505,mpi|P50|500250|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_250,Y (0.625),Y (0.675),-,Apoplastic/cytoplasmic effector,OG0009038
70327,mpi|P51|800375|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_375,Y (0.655),Y (0.7),-,Apoplastic/cytoplasmic effector,OG0009038
71850,mpi|P52|9001301|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_1301,Y (0.695),Y (0.645),-,Cytoplasmic/apoplastic effector,OG0009038
73005,mpi|P54|2500905|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_905,Y (0.733),Y (0.721),-,Cytoplasmic/apoplastic effector,OG0009038
74443,mpi|P55|2600402|Fgenesh_Torrubiella_hemipterigena|contig_26_gene_402,Y (0.659),Y (0.691),-,Apoplastic/cytoplasmic effector,OG0009038
75886,mpi|P56|2300184|Fgenesh_Torrubiella_hemipterigena|contig_23_gene_184,Y (0.733),Y (0.721),-,Cytoplasmic/apoplastic effector,OG0009038
77571,mpi|P57|9001717|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_1717,Y (0.612),Y (0.686),-,Apoplastic/cytoplasmic effector,OG0009038
78859,mpi|P58|13001387|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_1387,Y (0.627),Y (0.717),-,Apoplastic/cytoplasmic effector,OG0009038
80177,mpi|P59|2800900|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_900,Y (0.612),Y (0.686),-,Apoplastic/cytoplasmic effector,OG0009038
81686,mpi|P5|4500306|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_306,Y (0.695),Y (0.649),-,Cytoplasmic/apoplastic effector,OG0009038
83125,mpi|P60|1400186|Fgenesh_Torrubiella_hemipterigena|contig_14_gene_186,Y (0.662),Y (0.674),-,Apoplastic/cytoplasmic effector,OG0009038
84547,mpi|P612|4500168|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_168,Y (0.671),Y (0.674),-,Apoplastic/cytoplasmic effector,OG0009038
85771,mpi|P61|16001181|Fgenesh_Torrubiella_hemipterigena|contig_16_gene_1181,Y (0.727),Y (0.687),-,Cytoplasmic/apoplastic effector,OG0009038
86849,mpi|P62|2800181|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_181,Y (0.675),Y (0.658),-,Cytoplasmic/apoplastic effector,OG0009038
87651,mpi|P63|1200293|Fgenesh_Torrubiella_hemipterigena|contig_12_gene_293,Y (0.631),Y (0.632),-,Apoplastic/cytoplasmic effector,OG0009038
89114,mpi|P64|250091|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_91,Y (0.574),Y (0.609),-,Apoplastic/cytoplasmic effector,OG0009038
90558,mpi|P65|380052|Fgenesh_Torrubiella_hemipterigena|contig_38_gene_52,Y (0.638),Y (0.685),-,Apoplastic/cytoplasmic effector,OG0009038
92669,mpi|P66|200552|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_552,Y (0.63),Y (0.631),-,Apoplastic/cytoplasmic effector,OG0009038
94978,mpi|P68|900271|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_271,Y (0.67),Y (0.734),-,Apoplastic/cytoplasmic effector,OG0009038
96671,mpi|P6|90039|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_39,Y (0.673),Y (0.734),-,Apoplastic/cytoplasmic effector,OG0009038
98094,mpi|P7|550083|Fgenesh_Torrubiella_hemipterigena|contig_55_gene_83,Y (0.62),Y (0.725),-,Apoplastic/cytoplasmic effector,OG0009038
99614,mpi|P8|800671|Fgenesh_Torrubiella_hemipterigena|contig_8_gene_671,Y (0.728),Y (0.626),-,Cytoplasmic/apoplastic effector,OG0009038
100306,mpi|P9|90050|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_50,Y (0.632),Y (0.725),-,Apoplastic/cytoplasmic effector,OG0009038
1308,mpi|P10|2800488|Fgenesh_Torrubiella_hemipterigena|contig_28_gene_488,Y (0.665),Y (0.794),-,Apoplastic/cytoplasmic effector,OG0009050
2160,jgi|P117|249621|gm1.11311_g,Y (0.509),Y (0.724),-,Apoplastic/cytoplasmic effector,OG0009050
3938,mpi|P11|600720|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_720,Y (0.665),Y (0.794),-,Apoplastic/cytoplasmic effector,OG0009050
5491,mpi|P12|1500972|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_972,Y (0.665),Y (0.794),-,Apoplastic/cytoplasmic effector,OG0009050
5941,mpi|P13|200122|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_122,-,Y (0.773),-,Apoplastic effector,OG0009050
8145,mpi|P143|2000953|Fgenesh_Torrubiella_hemipterigena|contig_20_gene_953,Y (0.559),Y (0.737),-,Apoplastic/cytoplasmic effector,OG0009050
9403,mpi|P14|700958|Fgenesh_Torrubiella_hemipterigena|contig_7_gene_958,Y (0.547),Y (0.738),-,Apoplastic/cytoplasmic effector,OG0009050
10995,mpi|P15|190088|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_88,Y (0.547),Y (0.738),-,Apoplastic/cytoplasmic effector,OG0009050
11816,jgi|P16|296093|fgenesh1_pg.2_#_1477,Y (0.559),Y (0.737),-,Apoplastic/cytoplasmic effector,OG0009050
13436,mpi|P17|740034|Fgenesh_Torrubiella_hemipterigena|contig_74_gene_34,Y (0.531),Y (0.77),-,Apoplastic/cytoplasmic effector,OG0009050
14474,mpi|P18|13100252|Fgenesh_Torrubiella_hemipterigena|contig_131_gene_252,Y (0.539),Y (0.77),-,Apoplastic/cytoplasmic effector,OG0009050
15889,mpi|P19|1800264|Fgenesh_Torrubiella_hemipterigena|contig_18_gene_264,Y (0.539),Y (0.77),-,Apoplastic/cytoplasmic effector,OG0009050
18281,mpi|P1|6002407|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_2407,Y (0.515),Y (0.862),-,Apoplastic/cytoplasmic effector,OG0009050
18721,mpi|P20|12500235|Fgenesh_Torrubiella_hemipterigena|contig_125_gene_235,-,Y (0.803),-,Apoplastic effector,OG0009050
21149,mpi|P21|500859|Fgenesh_Torrubiella_hemipterigena|contig_5_gene_859,Y (0.524),Y (0.738),-,Apoplastic/cytoplasmic effector,OG0009050
22483,mpi|P22|1300432|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_432,Y (0.531),Y (0.799),-,Apoplastic/cytoplasmic effector,OG0009050
22968,mpi|P23|250023|Fgenesh_Torrubiella_hemipterigena|contig_25_gene_23,Y (0.535),Y (0.736),-,Apoplastic/cytoplasmic effector,OG0009050
25349,mpi|P24|2002462|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_2462,Y (0.537),Y (0.736),-,Apoplastic/cytoplasmic effector,OG0009050
26729,mpi|P25|74001653|Fgenesh_Torrubiella_hemipterigena|contig_74_gene_1653,Y (0.577),Y (0.738),-,Apoplastic/cytoplasmic effector,OG0009050
28263,mpi|P26|9002374|Fgenesh_Torrubiella_hemipterigena|contig_9_gene_2374,Y (0.503),Y (0.737),-,Apoplastic/cytoplasmic effector,OG0009050
29200,mpi|P27|3200715|Fgenesh_Torrubiella_hemipterigena|contig_32_gene_715,Y (0.537),Y (0.736),-,Apoplastic/cytoplasmic effector,OG0009050
30994,mpi|P28|3300708|Fgenesh_Torrubiella_hemipterigena|contig_33_gene_708,Y (0.547),Y (0.738),-,Apoplastic/cytoplasmic effector,OG0009050
32191,mpi|P29|4500830|Fgenesh_Torrubiella_hemipterigena|contig_45_gene_830,Y (0.537),Y (0.736),-,Apoplastic/cytoplasmic effector,OG0009050
33811,mpi|P2|6001325|Fgenesh_Torrubiella_hemipterigena|contig_6_gene_1325,-,Y (0.803),-,Apoplastic effector,OG0009050
35079,mpi|P30|100178|Fgenesh_Torrubiella_hemipterigena|scaffold_1_gene_178,-,Y (0.764),-,Apoplastic effector,OG0009050
35433,mpi|P31|240046|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_46,Y (0.665),Y (0.794),-,Apoplastic/cytoplasmic effector,OG0009050
37886,mpi|P32|1900973|Fgenesh_Torrubiella_hemipterigena|contig_19_gene_973,Y (0.554),Y (0.737),-,Apoplastic/cytoplasmic effector,OG0009050
39576,mpi|P33|2002428|Fgenesh_Torrubiella_hemipterigena|contig_2_gene_2428,Y (0.554),Y (0.737),-,Apoplastic/cytoplasmic effector,OG0009050
40847,mpi|P340|15002371|Fgenesh_Torrubiella_hemipterigena|contig_15_gene_2371,Y (0.537),Y (0.736),-,Apoplastic/cytoplasmic effector,OG0009050
42254,mpi|P34|13002386|Fgenesh_Torrubiella_hemipterigena|contig_13_gene_2386,Y (0.531),Y (0.77),-,Apoplastic/cytoplasmic effector,OG0009050
43646,mpi|P35|10001277|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_1277,Y (0.537),Y (0.736),-,Apoplastic/cytoplasmic effector,OG0009050
44829,mpi|P36|3100974|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_974,Y (0.559),Y (0.737),-,Apoplastic/cytoplasmic effector,OG0009050
46583,mpi|P38|4002370|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_2370,Y (0.537),Y (0.736),-,Apoplastic/cytoplasmic effector,OG0009050
47858,mpi|P39|3100332|Fgenesh_Torrubiella_hemipterigena|contig_31_gene_332,Y (0.537),Y (0.736),-,Apoplastic/cytoplasmic effector,OG0009050
49386,mpi|P3|10002406|Fgenesh_Torrubiella_hemipterigena|contig_10_gene_2406,Y (0.512),Y (0.831),-,Apoplastic/cytoplasmic effector,OG0009050
49976,mpi|P40|400181|Fgenesh_Torrubiella_hemipterigena|contig_4_gene_181,Y (0.707),Y (0.774),-,Apoplastic/cytoplasmic effector,OG0009050
51653,mpi|P41|2400575|Fgenesh_Torrubiella_hemipterigena|contig_24_gene_575,Y (0.559),Y (0.737),-,Apoplastic/cytoplasmic effector,OG0009050
53491,mpi|P421|34002377|Fgenesh_Torrubiella_hemipterigena|contig_34_gene_2377,Y (0.559),Y (0.737),-,Apoplastic/cytoplasmic effector,OG0009050
